Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
MarQ ,5 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹10,990","₹18,990",42% off,4.2,"1,788 Ratings & 240 Reviews"
Haier ,9 kg,,1300 rpm,,3 Years Warranty,"₹11,990","₹19,000",36% off,4.3,"2,540 Ratings & 144 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
SAMSUNG ,5 kg,Top Load,1300 rpm,Semi Automatic,,"₹13,990","₹17,490",20% off,4.4,"39,769 Ratings & 2,761 Reviews"
SAMSUNG ,8 kg,Top Load,700 rpm,Automatic,20 years warranty,"₹25,190","₹30,500",17% off,4.3,"79,817 Ratings & 5,810 Reviews"
Voltas ,10 kg,Top Load,700 rpm,Automatic,,"₹19,990","₹45,990",56% off,4.2,893 Ratings & 64 Reviews
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹8,999","₹12,499",28% off,4.1,"19,634 Ratings & 1,740 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
IFB ,7 kg,Front Load,1000 rpm,Automatic,10 Years Warranty,"₹27,990","₹36,990",24% off,4.3,"86,882 Ratings & 8,633 Reviews"
SAMSUNG ,8 kg,,700 rpm,Automatic,20 years warranty,"₹20,990","₹28,000",25% off,4.3,"20,132 Ratings & 1,335 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,8 kg,,1400 RPM,,10 Years Warranty,"₹35,990","₹47,090",23% off,4.3,"86,882 Ratings & 8,633 Reviews"
Thomson ,10 kg,Top Load,1400 RPM,Semi Automatic,2 Years Warranty,"₹9,999","₹14,999",33% off,4.1,"19,634 Ratings & 1,740 Reviews"
Thomson ,5 kg,,1400 RPM,,5 Years Warranty,"₹9,999","₹13,499",25% off,4.1,"19,634 Ratings & 1,740 Reviews"
Voltas ,10 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹13,690","₹20,590",33% off,4.3,"14,645 Ratings & 1,044 Reviews"
